puzzle,solution
705042908024700035000050700000030100400607050058100070042009001800000020090000000,765342918924718635183956742276835194419627853358194276642579381837461529591283467
000020508705030000020500037002001700070400301000975260010000000856004000004000150,493726518765138429128549637642381795579462381381975264917653842856214973234897156
060310074000240569840600003020050098005700040706034000600500900297000005150097000,562319874371248569849675123423156798915782346786934251634521987297863415158497632
921703065784100020050800470090420010267301500100907236430018050012579000500604002,921743865784165329653892471395426718267381594148957236436218957812579643579634182
542070603003400018018060540906000200125806000000507009287600000000700006361200007,542178693693452718718963542976314285125896374834527169287645931459731826361289457
030014009041207506267805034008900400002003810400050900000070041100300607000061300,835614729941237586267895134518926473692743815473158962386579241154382697729461358
040762903700000020809534610500408061418003279260100048670085104350007006980340702,145762983736891425829534617597428361418653279263179548672985134354217896981346752
972100000060378000003020600000006000007910000096000803014090080000400076000007040,972164538561378924843529617425836791387915462196742853714693285259481376638257149
006000100007098006020067408179020053204059080508013024791000000852041000003072810,986435172417298536325167498179824653234659781568713924791386245852941367643572819
060048013405003608003000524300000000074361800006000000500804107000152089001700400,762548913495213678183679524318925746274361895956487231529834167647152389831796452
080190602000000003200030401003271846000060900070040005000085039409007068031026004,387194652914652783265738491593271846148563927672849315726485139459317268831926574
030047528000000016700081040890000600300890107610035802070064081500720000460000900,139647528248953716756281349895172634324896157617435892973564281581729463462318975
405601200098042701020030040003005002014720000060810950600050090001096428809000000,475681239398542761126937845983465172514729683267813954642158397751396428839274516
486005307570328640209006801017080490060007000802493716100860073040009062690071084,486915327571328649239746851317682495964157238852493716125864973748539162693271584
050002700700004600624370905060085021000030570005006800007100069000500000819000200,358962714791854632624371985963785421182439576475216893547128369236597148819643257
050420610000350792092001050234685071006917320971243586029504867845060039760108040,357429618418356792692871453234685971586917324971243586129534867845762139763198245
370610400000302000000090130030108000461050000007003051600900702700031694904726580,378615429195342867246897135539178246461259378827463951653984712782531694914726583
029731000300450800645890000293540608700300050000208907407605091050920760062104000,829731546371456829645892173293547618786319452514268937437685291158923764962174385
230000100106034090970020000000817062621005870040096050069400020002050700380602900,238569147156734298974128635593817462621345879847296351769481523412953786385672914
783495020100003490060000030007641200040000910850000760908014600010370859570020301,783495126125763498469182537397641285642857913851239764938514672214376859576928341
009205000000700924600009058700543096403691007596007031205174009900002015160050000,849215673351786924672439158718543296423691587596827431235174869984362715167958342
030190020007024803002070100009700045000000300051600080000200490640019230093007000,536198724917524863482376159329781645864952371751643982178235496645819237293467518
904320010380009070207000903000974080812630004709002605098201367500700048173040509,954327816381569472267418953635974281812635794749182635498251367526793148173846529
835690120406801059107240800089000530300050000054026008000009071510703000070010600,835697124426831759197245863289174536361958247754326918642589371518763492973412685
350008100208019370000204050021900700500000089000003405695347000030800600000190034,359768142248519376716234958421985763563471289987623415695347821134852697872196534
000007030803204016791600504080709400105002000007341050238000105509003040016020000,624517839853294716791638524382759461145862973967341258238476195579183642416925387
743000160520300984980246570698520010050070008000408200000604020800050340430800756,743985162526317984981246573698523417254179638317468295175634829869752341432891756
070059002040000156000024700001007000003502601700400305900208560027030800106005000,678159432249873156315624798851367249493582671762491385934218567527936814186745923
084763102070004860032800705000100004497500010803002000749625301000001059065300400,584763192971254863632819745256187934497536218813942576749625381328471659165398427
